row,title,isbn,status
358,تحليل الخطاب السردي والمسرحي,978-9957-579-25-8,ok
359,الإعراب في العربية ,978-9957-579-04-3,ok
360,دلاليات التراكيب في الشعر العربي القديم,978-9957-579-16-6,ok
361,بلاغة النص الشعري,978-9957-579-26-5,ok
362,المبسط في اللغة العربية,978-9957-579-17-3,ok
363,النصوص الأدبية في اللغة العربية,978-9957-579-09-8,ok
364,آيات الله و معجزات الرقيب في الكون ,978-9957-544-,truncated_or_missing_cover
365,حوارات معاصرة في الفلسفة  و السياسة و الفكر,978-9957-579-13-5,ok
366,الفلسفة المعاصرة,978-9957-579-00-5,ok
367,منهجيات و طرق البحث في علم السياسة,978-9957-544-98-0,ok
368,التنمية السياسية,978-9957-579-14-2,ok
369,خمسة وثلاثون اسلوبا على مرشد معرفتها,978-9957-544-50-8,truncated_or_missing_cover
370,الريادة و العمل التطوعي,978-9957-544-87-4,ok
371,تطور النظام المالي والنمو الاقتصادي,978-9957-544-67-6,ok
372,تقييم المؤسسات وفقاً لرأس المال غير المادي,978-9957-544-88-1,ok
373,تشجيع الاستثمار واثره على التنمية الاقتصادية,978-9957-544-54-6,ok
374,كيف تستثمر بسوق الاسهم ,978-9957-544-59-1,truncated_or_missing_cover
375,التدريب المحاسبي و المالي,978-9957-544-65-2,ok
376,الاعلام الجنائي ,978-9957-544-75-1,ok
377,سحر الصورة السينمائية,978-9957-544-52-2,ok
378,النظام المائي ,978-9957-544-67-8,truncated_or_missing_cover
379,العنف الجامعي و العنف المجتمعي,978-9957-544-86-7,truncated_or_missing_cover
380,تكنولوجيا تعليم اللغة العربية ,978-9957-544-63-8,ok
381,تكنولوجيا الوسائط التعلمية المتعددة وتدريس الاجتماعيات ,978-9957-544-81-2,ok
382,التعلم القائم على المشكلة ,978-9957-544-79-9,ok
383,موقف السيوطي من المدارس النحوية,978-9957-544-59-1,truncated_or_missing_cover
384,احكام المسؤلية الجنائية الدولية ,978-9957-544-92-8,truncated_or_missing_cover
385,مكافحة الارهاب الدولي ,978-9957-544-58-4,ok
386,التدخل في الاستئناف امام القضاء,978-9957-544-55-3,ok
387,احكام وقواعد التنفيذ ,978-9957-544-56-0,ok
388,أصول الدفوع والمحاكمات,978-9957-544-57-7,ok
389,علم الاجرام,978-9957-544-53-9,ok
390,الوافي في عقود التجارة الدولية ,978-9957-544-51-5,ok
391,مدخل في القانون الاداري,978-9957-544-70-6,ok
392,الحماية الدولية لحقوق الانسان,978-9957-544-74-4,ok
393,الشرعية الدولية ,978-9957-544-84-3,ok
394,اصول التحقيق الابتدائي ,978-9957-544-78-2,ok
395,القانون الدولي الانساني ,978-9957-544-62-1,ok
396,الرقابة القضائية على القوانين ,978-9957-544-61-4,ok
397,طرق الطعن في الاحكام ,978-9957-544-82-9,ok
398,ترابط العلاقات بين القانون الدولي,978-9957-579-07-4,ok
399,الطب العدلي والتحري الجنائي ,978-9957-544-60-7,ok
400,المفاهيم و النظريات في الفكر السياسي,978-9957-544-85-0,ok
401,النظريات السياسية,978-9957-544-72-0,ok
402,النظام السياسي في الاسلام الشؤون العامة للدولة الاسلامية ,978-9957-544-68-3,ok
403,محددات السياسة الخارجية اليابانية,978-9957-544-77-5,ok
405,إدارة التغيير ,978-9957-544-38-6,ok
406,مدخل إلى  تنمية الموارد البشرية,978-9957-544-27-0,ok
407,المحاسبة الإدارية ,978-9957-544-32-4,truncated_or_missing_cover
408,مفهوم الحريات ,978-9957-544-45-2,truncated_or_missing_cover
409,الإعلام والسلطات الثلاث,978-9957-544-37-9,ok
410,الإعلام السياسي,978-9957-544-33-1,ok
411,الإعلام العسكري والحربي,987-9957-544-39-1,truncated_or_missing_cover
412,سيكولوجية الرأي العام ,978-9957-544-35-5,ok
413,الامن والسلامة في المنشأت السياحية والفندقية,978-9957-499-29-4,truncated_or_missing_cover
414,دروس في أناسة التواصل ,978-9957-544-43-0,ok
415,نصوص في اللغات والترجمة ,978-9957-544-47-8,ok
416,صورة المكان في الشعر عز الدين المناصرة,978-9957-499-28-7,truncated_or_missing_cover
417,امرؤ القيس الكندي,978-9957-499-26-3,truncated_or_missing_cover
418,عز الدين المناصرة هوميروس فلسطين والاردن,978-9957-499-25-6,truncated_or_missing_cover
419,القضاء الدولي الجنائي,978-9957-544-24-9,ok
420,قضايا تاريخية ورأي ,978-9957-544-68-7,truncated_or_missing_cover
421,تاريخ الشرق الأوسط الجديد,978-9957-544-42-3,ok
422,إستراتيجية التعامل مع ذوي الإحتياجات الخاصة ,978-9957-544-41-6,ok
423,الإنتخابات والتحول الديمقراطي العربي ,978-9957-544-44-7,ok
424,تفكيك دولة الخوف ,978-9957-544-36-2,ok
425,السياسة الخارجية ,978-9957-544-49-2,truncated_or_missing_cover
426,ادارة الجودة الشامله أيزو 9000,978-9957-544-04-1,ok
427,العلاقات العامة والبرتوكولات ,978-9957-544-03-4,ok
428,مفاهيم جديدة في إدارة الموارد البشرية ,978-9957-544-16-4,ok
429,إدارة الخصخصة بين النظرية والتطبيق,978-9957-544-09-6,ok
430,الاستراتيجيات الحديثة لإدارة الأزمات,978-9957-499-72-3,ok
431,أدارة الأزمات(الأمن الوطني ),978-9957-499-62-4,ok
432,إدارة الكوارث والمخاطر ( بين النظرية والتطبيق),978-9957-499-00-6,ok
433,محاسبة المنشآت االعامة والخاصة ,978-9957-544-10-2,ok
434,حقوق الانسان بين السلطة الوطنية والدولية,978-9957-544-01-0,ok
435,تأجير المحل التجاري ,978-9957-544-07-2,ok
436,الاعلام والتعليم في ضل ثورة الانترنت,978-9957-544-11-9,ok
437,سيكولوجية البيئة والحد من التلوث ,978-9957-544-00-3,ok
438,إدارة مصادر المياه,978-9957-544-14-0,ok
439,النظام البيئي (تلوث الهواء، الغلاف الجوي، الاحتباس الحراري ),978-9957-544-18-8,ok
440,علم النفس الرياضي,978-9957-544-05-8,ok
441,التجديد التربوي والتعلم الإلكتروني,978-9957-499-13-3,truncated_or_missing_cover
442,التفكير التحليلي وحل المشكلات,978-9957-544-06-5,ok
443,الأجناس الأدبية ,978-9957-499-97-3,truncated_or_missing_cover
446,إدارة المعلومات والمعرفة,978-9957-499-76-1,ok
447,إدارة التحول والقيادة الفعالة ,978-9957-499-75-4,ok
448,الحكومة الإلكترونية (بين النظرية والتطبيق),978-9957-499-77-8,ok
449,إدارة مخاطر المحافظ الإئتمانية,978-9957-499-69-3,ok
450,إدارة المواد والجودة الشاملة ,978-9957-499-71-6,ok
451,الإعلام الطبي والصحي ,978-9957-499-73-0,ok
452,الاعلام التربوي ,978-9957-499-83-9,ok
453,الإعلام الزراعي البيئي ,978-9957-499-78-5,ok
454,الخرافة والأسطورة ,978-9957-499-94-5,ok
455,الاقتصاد الزراعي ,978-9957-499-81-5,ok
456,التخطيط والتنمية الزراعية ,978-9957-499-80-8,ok
457,أساسيات البحوث الكمية والنوعية في العلوم الإجتماعية,978-9957-499-95-2,ok
458,التفكير المفاهيم والانماط,978-9957-499-98-3,truncated_or_missing_cover
459,اساسيات القياس والتقويم في التربية ,978-9957-499-96-9,ok
460,النصوص الصوتية في مشاهير شروح المقدمة الحزرية ,978-9957-499-85-3,ok
461,تأويل الجملة القرآنية الواحدة,978-9957-499-93-8,ok
462,دلالة البنية الصرفية في السور القرآنية,978-9957-499-92-1,ok
463,التراكيب التوليدة التحويلية,978-9957-499-82-2,ok
464,غربة الراعي /سيرة أحسان عباس الذاتية ,978-9957-499-86-0,ok
465,الريف في العهد العثماني,978-9957-499-23-2,truncated_or_missing_cover
466,دحض الثقافة السائدة ,978-9957-499-68-6,ok
467,أساليب أتخاذ القرارات الادارية الفعالة,978-9957-499-34-1,ok
468,إدارة  المخاطر الاستثمارية,079-9957-499-56-3,truncated_or_missing_cover
469,نظام المعلومات الإدارية ,079-9957-499-58-7,truncated_or_missing_cover
470,مفاهيم تسويقية حديثة ,978-9957-499-55-6,ok
471,النظريات المحاسبية ,978-9957-499-33-4,ok
472,المفاهيم المحاسبية الحديثة,978-9957-499-40-2,ok
473,نظم المعلومات المحاسبية ,978-9957-499-41-9,ok
474,التسويق والترويج السياحي والفندقي ,978-9957-499-45-7,ok
475,إدارة المنظمات الفندقية ,978-9957-499-30-3,ok
476,الإشاعة (المفاهيم والأهداف والآثار ),978-9957-544-,truncated_or_missing_cover
477,دراسات في النحو العربي ,978-9957-499-63-1,ok
478,الحد النحوي وتطبيقاته ,978-9957-499-64-8,ok
479,مهدي المخزومي وجهودة النحوية,978-9957-499-65-5,ok
480,التأجير التمويلي ,978-9957-499-35-8,ok
481,إدارة وتصنيف المطاعم السياحية وآلية عملها,978-9957-499-17-4,ok
482,إدارة المنشآت السياحية والفندقية,978-9957-499-18-1,ok
483,الدلالة والارشاد السياحي,978-9957-499-32-7,ok
484,ادارة مكاتب وشركات وكلاء السياحة والسفر,978-9957-499-39-6,ok
485,الدراما والمسرح في التعليم - النظرية والتطبيق,978-9957-499-03-7,truncated_or_missing_cover
486,الإشراف التربوي - بين النظرية والتطبيق,978-9957-499-09-9,ok
487,مدير المدرسة الفعال ,978-9957-499-31-0,ok
488,أساليب تدريس العلوم,978-9957-499-21-1,ok
489,أساليب تدريس الرياضيات,978-9957-499-11-2,ok
490,أساليب تدريس القرآن الكريم,978-9957-499-28-0,ok
491,أساليب تدريس الاجتماعيات,978-9957-499-12-9,ok
492,الشعر في عهد المرابطين والموحدين ,978-9957-499-25-9,ok
493,بحوث أندلسية,978-9957-499-16-7,ok
494,ديوان ابن اللبانة الداني - مجموع شعره,978-9957-499-26-6,truncated_or_missing_cover
